pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,building_count,extent_m2,mean_height_m,builtup_density
1,0,,2016,1.0749252675473309e8,1.9125396266363435e9,1.2066865117390268e6,2.2764709968220954e9,17.792303189599465,0.047218930926328666
1,0,,2017,1.146042115692498e8,2.236453669412042e9,1.3205671345273657e6,2.4143040985560026e9,19.51458536112053,0.04746883859319738
1,0,,2018,8.503351781998885e7,1.1243172744953475e9,1.1018467523354795e6,1.8644604681079414e9,13.22204823838364,0.045607573490834614
1,0,,2019,8.924300214504153e7,1.3688175084567652e9,1.1360727615133675e6,1.9114258510627244e9,15.338093470142395,0.0466892305005835
1,0,,2020,9.438837402318577e7,1.4617759916121914e9,1.1719637563570717e6,1.9793013610882282e9,15.48682246876207,0.04768772248572125
1,0,,2021,8.025099648165491e7,8.152334221351459e8,1.174882958471127e6,1.6391807129737844e9,10.158545786051459,0.04895799215210652
1,0,,2022,7.984420269791229e7,6.898982511361247e8,1.2689555972048615e6,1.605284118661937e9,8.64055532931214,0.04973836205672137
1,0,,2023,8.296331822983442e7,7.656215134650348e8,1.2827342346181395e6,1.602818701613199e9,9.228434081481927,0.05176088733325473
1,1,Kupwara,2016,1.647815911327717e7,1.5643792735426578e8,234501.1826889708,2.5207953435391775e8,9.493653161063175,0.06536888905127046
1,1,Kupwara,2017,1.6940142949258465e7,1.587860829627942e8,252439.42554557484,2.5453354541265324e8,9.37336145500147,0.06655367535856571
1,1,Kupwara,2018,1.7747600522454243e7,1.5853120320551416e8,250590.17854557652,2.6600301777972198e8,8.93254290938883,0.066719545780308
1,1,Kupwara,2019,1.849742196211679e7,1.664909608835987e8,262342.1742460634,2.676904276245596e8,9.000765686406279,0.06910005010735662
1,1,Kupwara,2020,1.933776546273069e7,1.689385050482882e8,278599.03834727965,2.7431486285405946e8,8.736195780938608,0.07049477837815422
1,1,Kupwara,2021,2.0325467179894287e7,1.755066523614036e8,299919.048244738,2.813623444407284e8,8.634815170940461,0.07223947191759356
1,1,Kupwara,2022,2.0732947929686937e7,1.6182802827441305e8,338194.3460446353,2.831656828161075e8,7.805355457565971,0.07321843425197558
1,1,Kupwara,2023,2.13926751430957e7,1.6585360653897798e8,350216.85515640443,2.880274402541743e8,7.752822189351377,0.0742730453883748
1,2,Badgam,2016,2.5733230123423845e7,2.4707260426163298e8,337758.8586890791,2.4118716190819547e8,9.601305513400492,0.10669402931661363
1,2,Badgam,2017,2.5583250975435723e7,2.3185902768467525e8,363165.3282396101,2.4605568763213468e8,9.062922765652395,0.10397341846323804
1,2,Badgam,2018,2.601967071226189e7,2.1656022390633112e8,393682.88247108535,2.5318363503931144e8,8.322942526873568,0.10276995473353502
1,2,Badgam,2019,2.7806954218526367e7,2.359903887890168e8,413032.3565278472,2.6191542796834022e8,8.486739933271382,0.10616768334046978
1,2,Badgam,2020,2.850102579426799e7,2.5389516204274207e8,403893.3115862596,2.6234215463362056e8,8.908281543108684,0.1086406636938379
